01_prenom;02_genre;03_langage;04_fr�quence
igor;m;russian;1.05
in�s;f;french;15.36
ira;m;biblical, english, jewish;18.83
ir�ne;f;french;1.62
irma;f;german, hungarian, spanish;9.75
irmgard;f;german;1.18
isaac;m;english, jewish, biblical;4.94
isabel;f;spanish, portuguese, french, english;1.31
isabelle;f;english, french, german;7.68
ivan;m;russian, czech, croatian;2.52
jacob;m;english, dutch, scandinavian;4.68
jacqueline;f;french, english;2.90
jacques;m;french;81.97
james;m;english, biblical;6.98
jasmin;f;english (modern);2.42
jason;m;english, greek mythology (latinized), biblical;2.20
javier;m;spanish, portuguese;8.00
jeanine;f;french, english;1.72
jeanne;f;french;15.13
jeannette;f;french;4.91
jeannot;m;french;7.61
j�r�mie;m;french;7.07
j�r�me;m;french;21.60
job;m;biblical;2.74
jo�l;m;french;4.11
johanna;f;german, scandinavian, dutch, hungarian;27.59
john;m;english, biblical;10.99
jolie;f;french;28.77
jordan;m,f;english, german, biblical;1.75
jos�;m;spanish, portuguese;2.61
joseph;m;english, french, biblical;63.05
jos�phine;f;french;4.59
josette;f;french;14.72
jourdain;m;french;3.12
juan;m;spanish;8.54
juana;f;spanish;1.12
juanita;f;spanish;1.24
judas;m;biblical;2.36
judith;f;english, jewish, french, biblical;2.68
julia;f;english, german, spanish, portuguese, ancient roman, biblical;4.59
julie;f;french, english;16.53
julien;m;french;134.02
julienne;f;french;2.96
juliette;f;french;16.25
julius;m;ancient roman, english;2.64
juste;m;french;167.03
karl;m;german, scandinavian;7.07
keith;m;english, scottish;1.24
kennedy;f,m;english, irish, scottish;1.75
lambert;m;english, french, german, dutch;40.68
lara;f;russian;1.47
lasse;m;finnish;8.95
laura;f;english, spanish, italian, romanian, finnish;14.75
laure;f;french;6.02
laurent;m;french;28.80
lazare;m;french;4.43
leila;f;arabic, english;1.08
leni;f;german;15.83
l�on;m;french;15.23
l�onard;m;french;4.24
l�onie;f;french;1.02
l�opold;m;french;2.77
liane;f;french, english;1.02
lili;f;german;20.04
lis;f;scandinavian, english;13.13
liv;f;scandinavian;8.86
lois;f;english, biblical;73.46
lola;f;spanish, english;9.81
louis;m;french, english;84.74
louise;f;french, english;45.05
loup;m;french;17.01
lourdes;f;spanish, english;22.36
luc;m;french;20.80
lucas;m;english, dutch, french;1.69
luce;f;french;1.88
luciano;m;italian, spanish, portuguese;1.59
lucie;f;french;18.80
lucien;m;french;25.49
lucienne;f;french;7.07
lucile;f;french, english;15.96
lucille;f;french;6.63
lucius;m;ancient roman, english;1.72
ludwig;m;german;1.85
luigi;m;italian;1.75
luis;m;spanish, portuguese;4.87
lulu;f;german;4.46
madeleine;f;french, english;16.28
mahon;m;irish;1.37
malin;f;swedish;10.99
manon;f;french;2.68
manuel;m;english, spanish, portuguese;12.01
marc;m;french;19.37
marcel;m;french, romanian, german;30.07
marceline;f;french;4.36
marcella;f;italian;1.53
marcelle;f;french;1.31
marcello;m;italian;1.85
marco;m;italian, spanish, portuguese;8.89
marek;m;polish, czech;2.42
marguerite;f;french;28.29
maria;f;italian, portuguese, german, scandinavian, dutch, greek, polish, czech, romanian, english, finnish, icelandic;14.91
marie;f;french;122.52
mariella;f;italian;2.80
mariette;f;french;4.08
marin;m;french, romanian;21.15
marina;f;italian, spanish, german, greek, russian, ancient roman;1.88
marine;f;french;40.49
marino;m;italian;8.41
mario;m;italian, spanish, portuguese;3.06
mark;m;english, russian, biblical;1.82
marko;m;ukrainian, croatian, serbian, finnish;1.47
martha;f;english, scandinavian, greek, biblical;5.64
marthe;f;french, german;14.40
martin;m;english, french, german, russian, romanian, czech, slovene;29.21
martine;f;french;2.68
mary;f;english, biblical;6.59
massimo;m;italian;1.69
mathias;m;german, scandinavian;13.25
mathieu;m;french;3.35
mathilde;f;french;4.71
maurice;m;english, french;46.99
max;m;english, german;13.44
maxime;m;french;3.92
maximilien;m;french;3.12
m�lanie;f;french;3.38
mercedes;f;spanish;3.28
merlin;m;welsh mythology, english;1.69
michel;m;french, german;31.92
mich�le;f;french;6.82
micheline;f;french;3.50
mignon;f;french;4.71
miguel;m;spanish, portuguese;3.76
mimi;f;italian;5.80
mireille;f;french;3.03
modeste;m;french;22.71
monique;f;french;5.93
morgan;m,f;welsh, english;2.42
murphy;m,f;irish, english;1.82
nadine;f;french;21.19
nana;f;japanese;6.31
narcisse;m;french;1.18
natale;f;italian;5.80
nathalie;f;french;10.42
nathan;m;english, biblical;8.19
nazaire;m;french;2.01
nicolas;m;french;51.04
nicole;f;french, english;12.17
no�;m;french;1.56
norbert;m;german, english, hungarian;2.58
odette;f;french;4.59
odile;f;french;3.60
odilon;m;portuguese, french;1.82
olga;f;russian, scandinavian, hungarian, romanian;23.83
olivier;m;french;123.64
olympe;f;french;1.56
oran;m;irish;1.62
orazio;m;italian;2.71
orlando;m;italian;4.75
oscar;m;english, irish;3.54
ottavio;m;italian;1.12
otto;m;german, english;5.26
pablo;m;spanish;1.78
paco;m;spanish, portuguese;2.64
paolo;m;italian;1.34
parsifal;m;german;1.15
pascal;m;french;34.34
patricia;f;english, spanish, portuguese, ancient roman;18.60
patrick;m;irish, english, french, german;8.89
paul;m;english, french, german, romanian, biblical;70.79
paule;f;french;25.87
paulette;f;french;2.29
pauli;m;finnish;1.34
pauline;f;french, english;3.95
paulo;m;portuguese, esperanto;4.65
pedro;m;spanish, portuguese;7.14
per;m;scandinavian;1.24
pericles;m;ancient greek (latinized);2.48
peter;m;english, german, scandinavian, biblical;2.87
philibert;m;french;1.75
philip;m;english, biblical;2.23
philipp;m;german;1.08
philippe;m;french;66.23
philo;m;english, german;1.75
pierre;m;french;177.41
piotr;m;polish;2.01
placide;f;french;3.38
pons;m;french;1.24
primo;m;italian, spanish;1.72
quentin;m;english, french;1.24
rachel;f;english, jewish, french, german, biblical;6.31
raoul;m;french;5.77
rapha�l;m;french;6.28
raymond;m;english, french;18.76
raymonde;f;french;1.15
reed;m;english, scottish;1.31
r�gis;m;french;11.21
rein;m;german;2.20
reine;f;french;36.80
rembrandt;m;dutch;2.58
r�mi;m;french;2.29
r�my;m;french;3.89
renard;m;french, polish;6.69
renaud;m;french;1.85
ren�;m;french;18.25
ren�e;f;french;4.33
reynaud;m;french;3.06
ricardo;m;spanish, portuguese;1.69
richard;m;english, french, german, czech;6.98
rita;f;english, scandinavian, german, hungarian, italian, spanish, portuguese;4.78
robert;m;english, french, scandinavian;59.38
roberto;m;italian, spanish, portuguese;1.40
roch;m;french;1.18
rochelle;f;french;2.80
rodolphe;m;french;1.40
rodrigo;m;spanish, italian;3.57
roger;m;english, french;49.73
roland;m;english, french;6.82
romain;m;french;15.32
romaine;f;french;12.97
roman;m;russian, polish, czech;53.65
rosa;f;spanish, italian, portuguese, scandinavian;20.90
rosalia;f;italian;1.59
rose;f;english, french;67.06
rosette;f;french;8.09
rosita;f;spanish;6.15
roxane;f;french, english;1.53
rudolf;m;german, dutch, scandinavian, polish, czech, hungarian;5.42
rufus;m;ancient roman, english, biblical;17.30
ruggero;m;italian;1.27
rut;f;swedish, german, italian, spanish, polish;1.56
ruth;f;english, german, scandinavian, biblical;1.98
sabine;f;french, german;4.84
sacha;m,f;french;1.53
salom�;f;french;1.37
salomon;m;finnish;2.99
salvador;m;spanish;2.48
samuel;m;english, french, biblical;9.30
sandra;f;italian, english;4.01
santa;f;italian;2.39
santiago;m;spanish;1.66
sarah;f;english, french, german, biblical;9.02
scott;m;english, scottish;2.58
s�bastien;m;french;5.29
serge;m;french;10.29
sergio;m;italian, spanish, portuguese;1.24
s�verin;m;french;8.54
siegfried;m;german;3.54
signe;f;scandinavian;101.34
sigrid;f;scandinavian;8.98
simon;m;english, french, scandinavian, hungarian, slovene, biblical;87.19
solange;f;french;28.96
sonia;f;english, italian, spanish, portuguese, romanian;1.66
sophia;f;english, greek, german, italian;1.69
sophie;f;french, english, german;8.47
spiro;m;greek;2.77
stanislas;m;history;2.33
stefan;m;german, scandinavian, polish, bulgarian, romanian, slovene;1.18
st�phane;m;french;8.35
st�phanie;f;french;1.53
stephen;m;english, biblical;1.34
stuart;m;english, scottish;1.88
suzanne;f;french;27.14
sylvain;m;french;1.31
sylvestre;m;french;2.77
sylvia;f;english, scandinavian, german;1.02
sylviane;f;french;1.88
sylvie;f;french;17.33
teresa;f;spanish, portuguese, italian, finnish, polish;1.59
th�o;m;french;3.31
th�odore;m;french;2.68
th�ophile;m;french;1.37
th�r�se;f;french;23.26
thibault;m;french;2.04
thierry;m;french;5.35
thomas;m;english, french, german, scandinavian, biblical;48.42
timon;m;ancient greek, biblical;1.27
timoth�e;m;french;7.07
tito;m;italian, spanish;1.02
toussaint;m;french;2.17
trajan;m;history;2.04
tristan;m;welsh, english, french, celtic mythology;4.21
turin;m;literature;2.74
uranus;m;greek mythology (latinized);1.37
urbain;m;french;17.14
ursula;f;english, scandinavian, german;7.45
valentin;m;scandinavian, german, french, czech, russian, romanian;1.98
val�rie;f;french;2.61
val�ry;m;french;5.89
varvara;f;russian, greek, bulgarian;5.70
vera;f;russian, english, german;1.50
v�ronique;f;french;11.82
victoire;f;french;63.40
victor;m;english, french, portuguese, spanish, romanian;37.50
vidal;m;spanish;1.34
vienne;f;french;30.61
ville;m;finnish;223.86
vincent;m;english, french, dutch, danish, swedish;21.63
violette;f;french;8.25
virginia;f;english, italian, spanish, portuguese, danish, swedish, romanian, ancient roman;3.03
virginie;f;french;35.71
vita;f;english, danish, ancient roman;1.02
vitale;m;italian;5.89
vivienne;f;french;1.47
wallace;m;english, scottish;1.08
walter;m;english, german, scandinavian;2.68
werner;m;german, dutch, scandinavian;10.39
werther;m;german;4.62
wilhelm;m;german;1.62
wolf;m;german, english, jewish;18.29
xavier;m;english, french, spanish;5.86
yannis;m;greek;1.34
yoshiko;f;japanese;1.08
yves;m;french;3.41
yvette;f;french;2.20
yvonne;f;french;12.30
zo�;f;french;1.18
